#FORMAT=WebAnno TSV 3.3


#Text=Microsoft has released the new MSN Search service.
1-1	0-9	Microsoft	
1-2	10-13	has	
1-3	14-22	released	
1-4	23-26	the	
1-5	27-30	new	
1-6	31-34	MSN	
1-7	35-41	Search	
1-8	42-49	service	
1-9	49-50	.	

#Text=According to Microsoft press release, the new MSN Search offers the largest, up to date selection of information and a new class of search tools, reducing time and effort required by users to find information.
2-1	51-60	According	
2-2	61-63	to	
2-3	64-73	Microsoft	
2-4	74-79	press	
2-5	80-87	release	
2-6	87-88	,	
2-7	89-92	the	
2-8	93-96	new	
2-9	97-100	MSN	
2-10	101-107	Search	
2-11	108-114	offers	
2-12	115-118	the	
2-13	119-126	largest	
2-14	126-127	,	
2-15	128-130	up	
2-16	131-133	to	
2-17	134-138	date	
2-18	139-148	selection	
2-19	149-151	of	
2-20	152-163	information	
2-21	164-167	and	
2-22	168-169	a	
2-23	170-173	new	
2-24	174-179	class	
2-25	180-182	of	
2-26	183-189	search	
2-27	190-195	tools	
2-28	195-196	,	
2-29	197-205	reducing	
2-30	206-210	time	
2-31	211-214	and	
2-32	215-221	effort	
2-33	222-230	required	
2-34	231-233	by	
2-35	234-239	users	
2-36	240-242	to	
2-37	243-247	find	
2-38	248-259	information	
2-39	259-260	.	

#Text=Some major characteristics of the new MSN Search service include: up to date information, direct answers, direct actions, content specific searching, Search Near Me feature (results tailored geographically), Search Builder (the user can customize search results by defining search criteria).
3-1	262-266	Some	
3-2	267-272	major	
3-3	273-288	characteristics	
3-4	289-291	of	
3-5	292-295	the	
3-6	296-299	new	
3-7	300-303	MSN	
3-8	304-310	Search	
3-9	311-318	service	
3-10	319-326	include	
3-11	326-327	:	
3-12	328-330	up	
3-13	331-333	to	
3-14	334-338	date	
3-15	339-350	information	
3-16	350-351	,	
3-17	352-358	direct	
3-18	359-366	answers	
3-19	366-367	,	
3-20	368-374	direct	
3-21	375-382	actions	
3-22	382-383	,	
3-23	384-391	content	
3-24	392-400	specific	
3-25	401-410	searching	
3-26	410-411	,	
3-27	412-418	Search	
3-28	419-423	Near	
3-29	424-426	Me	
3-30	427-434	feature	
3-31	435-436	(	
3-32	436-443	results	
3-33	444-452	tailored	
3-34	453-467	geographically	
3-35	467-468	)	
3-36	468-469	,	
3-37	470-476	Search	
3-38	477-484	Builder	
3-39	485-486	(	
3-40	486-489	the	
3-41	490-494	user	
3-42	495-498	can	
3-43	499-508	customize	
3-44	509-515	search	
3-45	516-523	results	
3-46	524-526	by	
3-47	527-535	defining	
3-48	536-542	search	
3-49	543-551	criteria	
3-50	551-552	)	
3-51	552-553	.	

#Text=The global beta version of MSN Search is available here.
4-1	555-558	The	
4-2	559-565	global	
4-3	566-570	beta	
4-4	571-578	version	
4-5	579-581	of	
4-6	582-585	MSN	
4-7	586-592	Search	
4-8	593-595	is	
4-9	596-605	available	
4-10	606-610	here	
4-11	610-611	.	
