#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Events|value


#Text=Microsoft has released the new MSN Search service.
1-1	0-9	Microsoft	Avancée technologique	
1-2	10-13	has	_	
1-3	14-22	released	_	
1-4	23-26	the	_	
1-5	27-30	new	_	
1-6	31-34	MSN	_	
1-7	35-41	Search	Avancée technologique[1]	
1-8	42-49	service	Avancée technologique[1]	
1-9	49-50	.	_	

#Text=According to Microsoft press release, the new MSN Search offers the largest, up to date selection of information and a new class of search tools, reducing time and effort required by users to find information.
2-1	51-60	According	_	
2-2	61-63	to	_	
2-3	64-73	Microsoft	_	
2-4	74-79	press	_	
2-5	80-87	release	_	
2-6	87-88	,	_	
2-7	89-92	the	_	
2-8	93-96	new	_	
2-9	97-100	MSN	_	
2-10	101-107	Search	_	
2-11	108-114	offers	_	
2-12	115-118	the	_	
2-13	119-126	largest	_	
2-14	126-127	,	_	
2-15	128-130	up	_	
2-16	131-133	to	_	
2-17	134-138	date	_	
2-18	139-148	selection	_	
2-19	149-151	of	_	
2-20	152-163	information	_	
2-21	164-167	and	_	
2-22	168-169	a	_	
2-23	170-173	new	_	
2-24	174-179	class	_	
2-25	180-182	of	_	
2-26	183-189	search	_	
2-27	190-195	tools	_	
2-28	195-196	,	_	
2-29	197-205	reducing	_	
2-30	206-210	time	_	
2-31	211-214	and	_	
2-32	215-221	effort	_	
2-33	222-230	required	_	
2-34	231-233	by	_	
2-35	234-239	users	_	
2-36	240-242	to	_	
2-37	243-247	find	_	
2-38	248-259	information	_	
2-39	259-260	.	_	

#Text=Some major characteristics of the new MSN Search service include: up to date information, direct answers, direct actions, content specific searching, Search Near Me feature (results tailored geographically), Search Builder (the user can customize search results by defining search criteria).
3-1	262-266	Some	_	
3-2	267-272	major	_	
3-3	273-288	characteristics	_	
3-4	289-291	of	_	
3-5	292-295	the	_	
3-6	296-299	new	_	
3-7	300-303	MSN	_	
3-8	304-310	Search	_	
3-9	311-318	service	_	
3-10	319-326	include	_	
3-11	326-327	:	_	
3-12	328-330	up	_	
3-13	331-333	to	_	
3-14	334-338	date	_	
3-15	339-350	information	_	
3-16	350-351	,	_	
3-17	352-358	direct	_	
3-18	359-366	answers	_	
3-19	366-367	,	_	
3-20	368-374	direct	_	
3-21	375-382	actions	_	
3-22	382-383	,	_	
3-23	384-391	content	_	
3-24	392-400	specific	_	
3-25	401-410	searching	_	
3-26	410-411	,	_	
3-27	412-418	Search	_	
3-28	419-423	Near	_	
3-29	424-426	Me	_	
3-30	427-434	feature	_	
3-31	435-436	(	_	
3-32	436-443	results	_	
3-33	444-452	tailored	_	
3-34	453-467	geographically	_	
3-35	467-468	)	_	
3-36	468-469	,	_	
3-37	470-476	Search	_	
3-38	477-484	Builder	_	
3-39	485-486	(	_	
3-40	486-489	the	_	
3-41	490-494	user	_	
3-42	495-498	can	_	
3-43	499-508	customize	_	
3-44	509-515	search	_	
3-45	516-523	results	_	
3-46	524-526	by	_	
3-47	527-535	defining	_	
3-48	536-542	search	_	
3-49	543-551	criteria	_	
3-50	551-552	)	_	
3-51	552-553	.	_	

#Text=The global beta version of MSN Search is available here.
4-1	555-558	The	_	
4-2	559-565	global	_	
4-3	566-570	beta	_	
4-4	571-578	version	_	
4-5	579-581	of	_	
4-6	582-585	MSN	Avancée technologique[2]	
4-7	586-592	Search	Avancée technologique[2]	
4-8	593-595	is	_	
4-9	596-605	available	_	
4-10	606-610	here	_	
4-11	610-611	.	_	
