#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Events|value


#Text=The 1994 settlement agreement between UNIX Systems Laboratories (USL) and Regent of University of California (USL v.
1-1	0-3	The	_	
1-2	4-8	1994	_	
1-3	9-19	settlement	Décision gouvernementale	
1-4	20-29	agreement	_	
1-5	30-37	between	_	
1-6	38-42	UNIX	_	
1-7	43-50	Systems	_	
1-8	51-63	Laboratories	_	
1-9	64-65	(	_	
1-10	65-68	USL	_	
1-11	68-69	)	_	
1-12	70-73	and	_	
1-13	74-80	Regent	_	
1-14	81-83	of	_	
1-15	84-94	University	_	
1-16	95-97	of	_	
1-17	98-108	California	_	
1-18	109-110	(	_	
1-19	110-113	USL	*[1]	
1-20	114-115	v	*[1]	
1-21	115-116	.	*[1]	

#Text=BSDi) was unsealed in November 2004 under the California Public Records Act (California Code § 6250-6270).
2-1	117-121	BSDi	_	
2-2	121-122	)	_	
2-3	123-126	was	_	
2-4	127-135	unsealed	Décision gouvernementale	
2-5	136-138	in	_	
2-6	139-147	November	_	
2-7	148-152	2004	_	
2-8	153-158	under	_	
2-9	159-162	the	_	
2-10	163-173	California	_	
2-11	174-180	Public	Décision gouvernementale[2]	
2-12	181-188	Records	Décision gouvernementale[2]	
2-13	189-192	Act	Décision gouvernementale[2]	
2-14	193-194	(	_	
2-15	194-204	California	_	
2-16	205-209	Code	_	
2-17	210-211	§	_	
2-18	212-216	6250	_	
2-19	216-217	-	_	
2-20	217-221	6270	_	
2-21	221-222	)	_	
2-22	222-223	.	_	

#Text=The details of the settlement may have ramifications with respect to the SCO v.
3-1	224-227	The	_	
3-2	228-235	details	_	
3-3	236-238	of	_	
3-4	239-242	the	_	
3-5	243-253	settlement	_	
3-6	254-257	may	_	
3-7	258-262	have	_	
3-8	263-276	ramifications	_	
3-9	277-281	with	_	
3-10	282-289	respect	_	
3-11	290-292	to	_	
3-12	293-296	the	_	
3-13	297-300	SCO	_	
3-14	301-302	v	_	
3-15	302-303	.	_	

#Text=IBM case with SCO believing it is the successor in interest to USL.
4-1	304-307	IBM	_	
4-2	308-312	case	_	
4-3	313-317	with	_	
4-4	318-321	SCO	_	
4-5	322-331	believing	_	
4-6	332-334	it	_	
4-7	335-337	is	_	
4-8	338-341	the	_	
4-9	342-351	successor	_	
4-10	352-354	in	_	
4-11	355-363	interest	_	
4-12	364-366	to	_	
4-13	367-370	USL	_	
4-14	370-371	.	_	
