#FORMAT=WebAnno TSV 3.3


#Text=Mozilla Firefox 1.0, a free open-source web browser, has been released on November 9, 2004 by the Mozilla Foundation.
1-1	0-7	Mozilla	
1-2	8-15	Firefox	
1-3	16-19	1.0	
1-4	19-20	,	
1-5	21-22	a	
1-6	23-27	free	
1-7	28-39	open-source	
1-8	40-43	web	
1-9	44-51	browser	
1-10	51-52	,	
1-11	53-56	has	
1-12	57-61	been	
1-13	62-70	released	
1-14	71-73	on	
1-15	74-82	November	
1-16	83-84	9	
1-17	84-85	,	
1-18	86-90	2004	
1-19	91-93	by	
1-20	94-97	the	
1-21	98-105	Mozilla	
1-22	106-116	Foundation	
1-23	116-117	.	

#Text=Some major characteristics of the browser are: pop-up blocking, tabbed browsing, integrated RSS news reader, themes, online fraud protection, extendable with add-ons and multi-platform (it works on Windows, Linux and Mac OS X).
2-1	121-125	Some	
2-2	126-131	major	
2-3	132-147	characteristics	
2-4	148-150	of	
2-5	151-154	the	
2-6	155-162	browser	
2-7	163-166	are	
2-8	166-167	:	
2-9	168-174	pop-up	
2-10	175-183	blocking	
2-11	183-184	,	
2-12	185-191	tabbed	
2-13	192-200	browsing	
2-14	200-201	,	
2-15	202-212	integrated	
2-16	213-216	RSS	
2-17	217-221	news	
2-18	222-228	reader	
2-19	228-229	,	
2-20	230-236	themes	
2-21	236-237	,	
2-22	238-244	online	
2-23	245-250	fraud	
2-24	251-261	protection	
2-25	261-262	,	
2-26	263-273	extendable	
2-27	274-278	with	
2-28	279-286	add-ons	
2-29	287-290	and	
2-30	291-305	multi-platform	
2-31	306-307	(	
2-32	307-309	it	
2-33	310-315	works	
2-34	316-318	on	
2-35	319-326	Windows	
2-36	326-327	,	
2-37	328-333	Linux	
2-38	334-337	and	
2-39	338-341	Mac	
2-40	342-344	OS	
2-41	345-346	X	
2-42	346-347	)	
2-43	347-348	.	

#Text=As of November 16, 2004, there are Firefox versions in the following languages: Norwegian, Polish, Finnish, Italian, Japanese, Greek, Korean, Spanish, Russian, Slovenian, Czech, English, Romanian, German, Hebrew, French, Hungarian, Swedish and Catalan.
3-1	349-351	As	
3-2	352-354	of	
3-3	355-363	November	
3-4	364-366	16	
3-5	366-367	,	
3-6	368-372	2004	
3-7	372-373	,	
3-8	374-379	there	
3-9	380-383	are	
3-10	384-391	Firefox	
3-11	392-400	versions	
3-12	401-403	in	
3-13	404-407	the	
3-14	408-417	following	
3-15	418-427	languages	
3-16	427-428	:	
3-17	429-438	Norwegian	
