#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Events|value


#Text=The South American 2004 World Cup Qualifiers were decided today in the Eleveth Round of play.
1-1	0-3	The	Évenement culturelle[1]	
1-2	4-9	South	Évenement culturelle[1]	
1-3	10-18	American	Évenement culturelle[1]	
1-4	19-23	2004	Évenement culturelle[1]	
1-5	24-29	World	Évenement culturelle[1]	
1-6	30-33	Cup	Évenement culturelle[1]	
1-7	34-44	Qualifiers	_	
1-8	45-49	were	_	
1-9	50-57	decided	_	
1-10	58-63	today	_	
1-11	64-66	in	_	
1-12	67-70	the	_	
1-13	71-78	Eleveth	Évenement culturelle[2]	
1-14	79-84	Round	Évenement culturelle[2]	
1-15	85-87	of	Évenement culturelle[2]	
1-16	88-92	play	Évenement culturelle[2]	
1-17	92-93	.	_	

#Text=*Argentina 3 x Venezuela 2 - place: Buenos Aires (Argentina)
#Text=*Colombia 1 x Bolivia 0 - place: Barranquilla (Colombia)
#Text=*Ecuador 1 x Brasil 0 - place: Quito (Ecuador)
#Text=*Uruguay 1 x Paraguay 0 - place: Montevideo (Uruguay)
#Text=*Peru 2 x Chile 1 - place: Lima (Peru)
#Text=
#Text=Rank Points Country
#Text=#22 Argentina
#Text=#20 Brasil
#Text=#16 Paraguay
#Text=#16 Ecuador
#Text=#14 Uruguay
#Text=#13 Colombia
#Text=#13 Chile
#Text=#13 Venezuela
#Text=#13 Peru
#Text=#10 Bolivia
2-1	95-96	*	_	
2-2	96-105	Argentina	_	
2-3	106-107	3	_	
2-4	108-109	x	_	
2-5	110-119	Venezuela	_	
2-6	120-121	2	_	
2-7	122-123	-	_	
2-8	124-129	place	_	
2-9	129-130	:	_	
2-10	131-137	Buenos	_	
2-11	138-143	Aires	_	
2-12	144-145	(	_	
2-13	145-154	Argentina	_	
2-14	154-155	)	_	
2-15	156-157	*	_	
2-16	157-165	Colombia	_	
2-17	166-167	1	_	
2-18	168-169	x	_	
2-19	170-177	Bolivia	_	
2-20	178-179	0	_	
2-21	180-181	-	_	
2-22	182-187	place	_	
2-23	187-188	:	_	
2-24	189-201	Barranquilla	_	
2-25	202-203	(	_	
2-26	203-211	Colombia	_	
2-27	211-212	)	_	
2-28	213-214	*	_	
2-29	214-221	Ecuador	_	
2-30	222-223	1	_	
2-31	224-225	x	_	
2-32	226-232	Brasil	_	
2-33	233-234	0	_	
2-34	235-236	-	_	
2-35	237-242	place	_	
2-36	242-243	:	_	
2-37	244-249	Quito	_	
2-38	250-251	(	_	
2-39	251-258	Ecuador	_	
2-40	258-259	)	_	
2-41	260-261	*	_	
2-42	261-268	Uruguay	_	
2-43	269-270	1	_	
2-44	271-272	x	_	
2-45	273-281	Paraguay	_	
2-46	282-283	0	_	
2-47	284-285	-	_	
2-48	286-291	place	_	
2-49	291-292	:	_	
2-50	293-303	Montevideo	_	
2-51	304-305	(	_	
2-52	305-312	Uruguay	_	
2-53	312-313	)	_	
2-54	314-315	*	_	
2-55	315-319	Peru	_	
2-56	320-321	2	_	
2-57	322-323	x	_	
2-58	324-329	Chile	_	
2-59	330-331	1	_	
2-60	332-333	-	_	
2-61	334-339	place	_	
2-62	339-340	:	_	
2-63	341-345	Lima	_	
2-64	346-347	(	_	
2-65	347-351	Peru	_	
2-66	351-352	)	_	
2-67	354-358	Rank	_	
2-68	359-365	Points	_	
2-69	366-373	Country	_	
2-70	374-377	#22	_	
2-71	378-387	Argentina	_	
2-72	388-391	#20	_	
2-73	392-398	Brasil	_	
2-74	399-402	#16	_	
2-75	403-411	Paraguay	_	
2-76	412-415	#16	_	
2-77	416-423	Ecuador	_	
2-78	424-427	#14	_	
2-79	428-435	Uruguay	_	
2-80	436-439	#13	_	
2-81	440-448	Colombia	_	
2-82	449-452	#13	_	
2-83	453-458	Chile	_	
2-84	459-462	#13	_	
2-85	463-472	Venezuela	_	
2-86	473-476	#13	_	
2-87	477-481	Peru	_	
2-88	482-485	#10	_	
2-89	486-493	Bolivia	_	
