#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Events|value


#Text=Big Linux 2.0 Beta 3 has been released.
1-1	0-3	Big	Avancée technologique[1]	
1-2	4-9	Linux	Avancée technologique[1]	
1-3	10-13	2.0	Avancée technologique[1]	
1-4	14-18	Beta	Avancée technologique[1]	
1-5	19-20	3	Avancée technologique[1]	
1-6	21-24	has	_	
1-7	25-29	been	_	
1-8	30-38	released	Avancée technologique	
1-9	38-39	.	_	

#Text=Big Linux is a Live Compact Disc Brazilian Linux distribution, based on Knoppix.
2-1	40-43	Big	_	
2-2	44-49	Linux	_	
2-3	50-52	is	_	
2-4	53-54	a	_	
2-5	55-59	Live	_	
2-6	60-67	Compact	_	
2-7	68-72	Disc	_	
2-8	73-82	Brazilian	_	
2-9	83-88	Linux	_	
2-10	89-101	distribution	_	
2-11	101-102	,	_	
2-12	103-108	based	_	
2-13	109-111	on	_	
2-14	112-119	Knoppix	_	
2-15	119-120	.	_	

#Text=A Linux distribution is a software set with the Linux operating system and GNU software.
3-1	122-123	A	_	
3-2	124-129	Linux	_	
3-3	130-142	distribution	_	
3-4	143-145	is	_	
3-5	146-147	a	_	
3-6	148-156	software	_	
3-7	157-160	set	_	
3-8	161-165	with	_	
3-9	166-169	the	_	
3-10	170-175	Linux	_	
3-11	176-185	operating	_	
3-12	186-192	system	_	
3-13	193-196	and	_	
3-14	197-200	GNU	_	
3-15	201-209	software	_	
3-16	209-210	.	_	

#Text=The source code of Linux and GNU software is freely available and can be legally distributed among users.
4-1	211-214	The	_	
4-2	215-221	source	_	
4-3	222-226	code	_	
4-4	227-229	of	_	
4-5	230-235	Linux	_	
4-6	236-239	and	_	
4-7	240-243	GNU	_	
4-8	244-252	software	_	
4-9	253-255	is	_	
4-10	256-262	freely	_	
4-11	263-272	available	_	
4-12	273-276	and	_	
4-13	277-280	can	_	
4-14	281-283	be	_	
4-15	284-291	legally	_	
4-16	292-303	distributed	_	
4-17	304-309	among	_	
4-18	310-315	users	_	
4-19	315-316	.	_	

#Text=Big Linux is a Live Compact Disc version of Linux, which means it may run directly from the CD or optionally be installed on the hard disk.
5-1	317-320	Big	_	
5-2	321-326	Linux	_	
5-3	327-329	is	_	
5-4	330-331	a	_	
5-5	332-336	Live	_	
5-6	337-344	Compact	_	
5-7	345-349	Disc	_	
5-8	350-357	version	_	
5-9	358-360	of	_	
5-10	361-366	Linux	_	
5-11	366-367	,	_	
5-12	368-373	which	_	
5-13	374-379	means	_	
5-14	380-382	it	_	
5-15	383-386	may	_	
5-16	387-390	run	_	
5-17	391-399	directly	_	
5-18	400-404	from	_	
5-19	405-408	the	_	
5-20	409-411	CD	_	
5-21	412-414	or	_	
5-22	415-425	optionally	_	
5-23	426-428	be	_	
5-24	429-438	installed	_	
5-25	439-441	on	_	
5-26	442-445	the	_	
5-27	446-450	hard	_	
5-28	451-455	disk	_	
5-29	455-456	.	_	

#Text=According to its developers, Big Linux aims to be easy to use and comes with many programs that are used by home users and offices.
6-1	458-467	According	_	
6-2	468-470	to	_	
6-3	471-474	its	_	
6-4	475-485	developers	_	
6-5	485-486	,	_	
6-6	487-490	Big	_	
6-7	491-496	Linux	_	
6-8	497-501	aims	_	
6-9	502-504	to	_	
6-10	505-507	be	_	
6-11	508-512	easy	_	
6-12	513-515	to	_	
6-13	516-519	use	_	
6-14	520-523	and	_	
6-15	524-529	comes	_	
6-16	530-534	with	_	
6-17	535-539	many	_	
6-18	540-548	programs	_	
6-19	549-553	that	_	
6-20	554-557	are	_	
6-21	558-562	used	_	
6-22	563-565	by	_	
6-23	566-570	home	_	
6-24	571-576	users	_	
6-25	577-580	and	_	
6-26	581-588	offices	_	
6-27	588-589	.	_	

#Text=Some included programs are: KDE, Java, XMMS, Kaffeine, xine, Kopete, YES, XChat, Fullt, aMSN, the Windows runtime environments Wine and Cedega, the peer-to-peer applications xMule, BitTorrent and Apollon, OpenOffice.org, GIMP and AbiWord, the email clients Kmail and Thunderbird, and the internet browsers Mozilla and the proprietary Opera browser.
7-1	590-594	Some	_	
7-2	595-603	included	_	
7-3	604-612	programs	_	
7-4	613-616	are	_	
7-5	616-617	:	_	
7-6	618-621	KDE	_	
7-7	621-622	,	_	
7-8	623-627	Java	_	
7-9	627-628	,	_	
7-10	629-633	XMMS	_	
7-11	633-634	,	_	
7-12	635-643	Kaffeine	_	
7-13	643-644	,	_	
7-14	645-649	xine	_	
7-15	649-650	,	_	
7-16	651-657	Kopete	_	
7-17	657-658	,	_	
7-18	659-662	YES	_	
7-19	662-663	,	_	
7-20	664-669	XChat	_	
7-21	669-670	,	_	
7-22	671-676	Fullt	_	
7-23	676-677	,	_	
7-24	678-682	aMSN	_	
7-25	682-683	,	_	
7-26	684-687	the	_	
7-27	688-695	Windows	_	
7-28	696-703	runtime	_	
7-29	704-716	environments	_	
7-30	717-721	Wine	_	
7-31	722-725	and	_	
7-32	726-732	Cedega	_	
7-33	732-733	,	_	
7-34	734-737	the	_	
7-35	738-750	peer-to-peer	_	
7-36	751-763	applications	_	
7-37	764-769	xMule	_	
7-38	769-770	,	_	
7-39	771-781	BitTorrent	_	
7-40	782-785	and	_	
7-41	786-793	Apollon	_	
7-42	793-794	,	_	
7-43	795-809	OpenOffice.org	_	
7-44	809-810	,	_	
7-45	811-815	GIMP	_	
7-46	816-819	and	_	
7-47	820-827	AbiWord	_	
7-48	827-828	,	_	
7-49	829-832	the	_	
7-50	833-838	email	_	
7-51	839-846	clients	_	
7-52	847-852	Kmail	_	
7-53	853-856	and	_	
7-54	857-868	Thunderbird	_	
7-55	868-869	,	_	
7-56	870-873	and	_	
7-57	874-877	the	_	
7-58	878-886	internet	_	
7-59	887-895	browsers	_	
7-60	896-903	Mozilla	_	
7-61	904-907	and	_	
7-62	908-911	the	_	
7-63	912-923	proprietary	_	
7-64	924-929	Opera	_	
7-65	930-937	browser	_	
7-66	937-938	.	_	

#Text=Some features of version 2.0 beta 3 are: 3 versions of the Linux kernel -- 2.4.25 (for those who use Winmodems), 2.4.27 (stable) and 2.6.8 (performance) --, automatic detection of printers, higher boot speed, complete system of network and servers and an automatic hardware detection mechanism.
8-1	940-944	Some	_	
8-2	945-953	features	_	
8-3	954-956	of	_	
8-4	957-964	version	_	
8-5	965-968	2.0	_	
8-6	969-973	beta	_	
8-7	974-975	3	_	
8-8	976-979	are	_	
8-9	979-980	:	_	
8-10	981-982	3	_	
8-11	983-991	versions	_	
8-12	992-994	of	_	
8-13	995-998	the	_	
8-14	999-1004	Linux	_	
8-15	1005-1011	kernel	_	
8-16	1012-1013	-	_	
8-17	1013-1014	-	_	
8-18	1015-1021	2.4.25	_	
8-19	1022-1023	(	_	
8-20	1023-1026	for	_	
8-21	1027-1032	those	_	
8-22	1033-1036	who	_	
8-23	1037-1040	use	_	
8-24	1041-1050	Winmodems	_	
8-25	1050-1051	)	_	
8-26	1051-1052	,	_	
8-27	1053-1059	2.4.27	_	
8-28	1060-1061	(	_	
8-29	1061-1067	stable	_	
8-30	1067-1068	)	_	
8-31	1069-1072	and	_	
8-32	1073-1078	2.6.8	_	
8-33	1079-1080	(	_	
8-34	1080-1091	performance	_	
8-35	1091-1092	)	_	
8-36	1093-1094	-	_	
8-37	1094-1095	-	_	
8-38	1095-1096	,	_	
8-39	1097-1106	automatic	_	
8-40	1107-1116	detection	_	
8-41	1117-1119	of	_	
8-42	1120-1128	printers	_	
8-43	1128-1129	,	_	
8-44	1130-1136	higher	_	
8-45	1137-1141	boot	_	
8-46	1142-1147	speed	_	
8-47	1147-1148	,	_	
8-48	1149-1157	complete	_	
8-49	1158-1164	system	_	
8-50	1165-1167	of	_	
8-51	1168-1175	network	_	
8-52	1176-1179	and	_	
8-53	1180-1187	servers	_	
8-54	1188-1191	and	_	
8-55	1192-1194	an	_	
8-56	1195-1204	automatic	Avancée technologique[2]	
8-57	1205-1213	hardware	Avancée technologique[2]	
8-58	1214-1223	detection	Avancée technologique[2]	
8-59	1224-1233	mechanism	_	
8-60	1233-1234	.	_	

