#FORMAT=WebAnno TSV 3.3


#Text=Big Linux 2.0 Beta 3 has been released.
1-1	0-3	Big	
1-2	4-9	Linux	
1-3	10-13	2.0	
1-4	14-18	Beta	
1-5	19-20	3	
1-6	21-24	has	
1-7	25-29	been	
1-8	30-38	released	
1-9	38-39	.	

#Text=Big Linux is a Live Compact Disc Brazilian Linux distribution, based on Knoppix.
2-1	40-43	Big	
2-2	44-49	Linux	
2-3	50-52	is	
2-4	53-54	a	
2-5	55-59	Live	
2-6	60-67	Compact	
2-7	68-72	Disc	
2-8	73-82	Brazilian	
2-9	83-88	Linux	
2-10	89-101	distribution	
2-11	101-102	,	
2-12	103-108	based	
2-13	109-111	on	
2-14	112-119	Knoppix	
2-15	119-120	.	

#Text=A Linux distribution is a software set with the Linux operating system and GNU software.
3-1	122-123	A	
3-2	124-129	Linux	
3-3	130-142	distribution	
3-4	143-145	is	
3-5	146-147	a	
3-6	148-156	software	
3-7	157-160	set	
3-8	161-165	with	
3-9	166-169	the	
3-10	170-175	Linux	
3-11	176-185	operating	
3-12	186-192	system	
3-13	193-196	and	
3-14	197-200	GNU	
3-15	201-209	software	
3-16	209-210	.	

#Text=The source code of Linux and GNU software is freely available and can be legally distributed among users.
4-1	211-214	The	
4-2	215-221	source	
4-3	222-226	code	
4-4	227-229	of	
4-5	230-235	Linux	
4-6	236-239	and	
4-7	240-243	GNU	
4-8	244-252	software	
4-9	253-255	is	
4-10	256-262	freely	
4-11	263-272	available	
4-12	273-276	and	
4-13	277-280	can	
4-14	281-283	be	
4-15	284-291	legally	
4-16	292-303	distributed	
4-17	304-309	among	
4-18	310-315	users	
4-19	315-316	.	

#Text=Big Linux is a Live Compact Disc version of Linux, which means it may run directly from the CD or optionally be installed on the hard disk.
5-1	317-320	Big	
5-2	321-326	Linux	
5-3	327-329	is	
5-4	330-331	a	
5-5	332-336	Live	
5-6	337-344	Compact	
5-7	345-349	Disc	
5-8	350-357	version	
5-9	358-360	of	
5-10	361-366	Linux	
5-11	366-367	,	
5-12	368-373	which	
5-13	374-379	means	
5-14	380-382	it	
5-15	383-386	may	
5-16	387-390	run	
5-17	391-399	directly	
5-18	400-404	from	
5-19	405-408	the	
5-20	409-411	CD	
5-21	412-414	or	
5-22	415-425	optionally	
5-23	426-428	be	
5-24	429-438	installed	
5-25	439-441	on	
5-26	442-445	the	
5-27	446-450	hard	
5-28	451-455	disk	
5-29	455-456	.	

#Text=According to its developers, Big Linux aims to be easy to use and comes with many programs that are used by home users and offices.
6-1	458-467	According	
6-2	468-470	to	
6-3	471-474	its	
6-4	475-485	developers	
6-5	485-486	,	
6-6	487-490	Big	
6-7	491-496	Linux	
6-8	497-501	aims	
6-9	502-504	to	
6-10	505-507	be	
6-11	508-512	easy	
6-12	513-515	to	
6-13	516-519	use	
6-14	520-523	and	
6-15	524-529	comes	
6-16	530-534	with	
6-17	535-539	many	
6-18	540-548	programs	
6-19	549-553	that	
6-20	554-557	are	
6-21	558-562	used	
6-22	563-565	by	
6-23	566-570	home	
6-24	571-576	users	
6-25	577-580	and	
6-26	581-588	offices	
6-27	588-589	.	

#Text=Some included programs are: KDE, Java, XMMS, Kaffeine, xine, Kopete, YES, XChat, Fullt, aMSN, the Windows runtime environments Wine and Cedega, the peer-to-peer applications xMule, BitTorrent and Apollon, OpenOffice.org, GIMP and AbiWord, the email clients Kmail and Thunderbird, and the internet browsers Mozilla and the proprietary Opera browser.
7-1	590-594	Some	
7-2	595-603	included	
7-3	604-612	programs	
7-4	613-616	are	
7-5	616-617	:	
7-6	618-621	KDE	
7-7	621-622	,	
7-8	623-627	Java	
7-9	627-628	,	
7-10	629-633	XMMS	
7-11	633-634	,	
7-12	635-643	Kaffeine	
7-13	643-644	,	
7-14	645-649	xine	
7-15	649-650	,	
7-16	651-657	Kopete	
7-17	657-658	,	
7-18	659-662	YES	
7-19	662-663	,	
7-20	664-669	XChat	
7-21	669-670	,	
7-22	671-676	Fullt	
7-23	676-677	,	
7-24	678-682	aMSN	
7-25	682-683	,	
7-26	684-687	the	
7-27	688-695	Windows	
7-28	696-703	runtime	
7-29	704-716	environments	
7-30	717-721	Wine	
7-31	722-725	and	
7-32	726-732	Cedega	
7-33	732-733	,	
7-34	734-737	the	
7-35	738-750	peer-to-peer	
7-36	751-763	applications	
7-37	764-769	xMule	
7-38	769-770	,	
7-39	771-781	BitTorrent	
7-40	782-785	and	
7-41	786-793	Apollon	
7-42	793-794	,	
7-43	795-809	OpenOffice.org	
7-44	809-810	,	
7-45	811-815	GIMP	
7-46	816-819	and	
7-47	820-827	AbiWord	
7-48	827-828	,	
7-49	829-832	the	
7-50	833-838	email	
7-51	839-846	clients	
7-52	847-852	Kmail	
7-53	853-856	and	
7-54	857-868	Thunderbird	
7-55	868-869	,	
7-56	870-873	and	
7-57	874-877	the	
7-58	878-886	internet	
7-59	887-895	browsers	
7-60	896-903	Mozilla	
7-61	904-907	and	
7-62	908-911	the	
7-63	912-923	proprietary	
7-64	924-929	Opera	
7-65	930-937	browser	
7-66	937-938	.	

#Text=Some features of version 2.0 beta 3 are: 3 versions of the Linux kernel -- 2.4.25 (for those who use Winmodems), 2.4.27 (stable) and 2.6.8 (performance) --, automatic detection of printers, higher boot speed, complete system of network and servers and an automatic hardware detection mechanism.
8-1	940-944	Some	
8-2	945-953	features	
8-3	954-956	of	
8-4	957-964	version	
8-5	965-968	2.0	
8-6	969-973	beta	
8-7	974-975	3	
8-8	976-979	are	
8-9	979-980	:	
8-10	981-982	3	
8-11	983-991	versions	
8-12	992-994	of	
8-13	995-998	the	
8-14	999-1004	Linux	
8-15	1005-1011	kernel	
8-16	1012-1013	-	
8-17	1013-1014	-	
8-18	1015-1021	2.4.25	
8-19	1022-1023	(	
8-20	1023-1026	for	
8-21	1027-1032	those	
8-22	1033-1036	who	
8-23	1037-1040	use	
8-24	1041-1050	Winmodems	
8-25	1050-1051	)	
8-26	1051-1052	,	
8-27	1053-1059	2.4.27	
8-28	1060-1061	(	
8-29	1061-1067	stable	
8-30	1067-1068	)	
8-31	1069-1072	and	
8-32	1073-1078	2.6.8	
8-33	1079-1080	(	
8-34	1080-1091	performance	
8-35	1091-1092	)	
8-36	1093-1094	-	
8-37	1094-1095	-	
8-38	1095-1096	,	
8-39	1097-1106	automatic	
8-40	1107-1116	detection	
8-41	1117-1119	of	
8-42	1120-1128	printers	
8-43	1128-1129	,	
8-44	1130-1136	higher	
8-45	1137-1141	boot	
8-46	1142-1147	speed	
8-47	1147-1148	,	
8-48	1149-1157	complete	
8-49	1158-1164	system	
8-50	1165-1167	of	
8-51	1168-1175	network	
8-52	1176-1179	and	
8-53	1180-1187	servers	
8-54	1188-1191	and	
8-55	1192-1194	an	
8-56	1195-1204	automatic	
8-57	1205-1213	hardware	
8-58	1214-1223	detection	
8-59	1224-1233	mechanism	
8-60	1233-1234	.	

#Text=The graphical environment (known as X11) can have several configurations separated by kernel.
9-1	1235-1238	The	
9-2	1239-1248	graphical	
9-3	1249-1260	environment	
9-4	1261-1262	(	
9-5	1262-1267	known	
9-6	1268-1270	as	
9-7	1271-1274	X11	
9-8	1274-1275	)	
9-9	1276-1279	can	
9-10	1280-1284	have	
9-11	1285-1292	several	
