#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Events|value


#Text=Democratic Senator Harry Reid has been elected the new leader of the Democratic party in the Senate.
1-1	0-10	Democratic	_	
1-2	11-18	Senator	_	
1-3	19-24	Harry	_	
1-4	25-29	Reid	_	
1-5	30-33	has	_	
1-6	34-38	been	_	
1-7	39-46	elected	Décision gouvernementale	
1-8	47-50	the	_	
1-9	51-54	new	Décision gouvernementale[1]	
1-10	55-61	leader	Décision gouvernementale[1]	
1-11	62-64	of	_	
1-12	65-68	the	_	
1-13	69-79	Democratic	_	
1-14	80-85	party	_	
1-15	86-88	in	_	
1-16	89-92	the	_	
1-17	93-99	Senate	_	
1-18	99-100	.	_	

#Text=Reid, from Nevada, replaces out-going leader Tom Daschle who lost his re-election bid in the state of South Dakota.
2-1	101-105	Reid	_	
2-2	105-106	,	_	
2-3	107-111	from	_	
2-4	112-118	Nevada	_	
2-5	118-119	,	_	
2-6	120-128	replaces	_	
2-7	129-138	out-going	_	
2-8	139-145	leader	_	
2-9	146-149	Tom	_	
2-10	150-157	Daschle	_	
2-11	158-161	who	_	
2-12	162-166	lost	_	
2-13	167-170	his	_	
2-14	171-182	re-election	Décision gouvernementale	
2-15	183-186	bid	_	
2-16	187-189	in	_	
2-17	190-193	the	_	
2-18	194-199	state	_	
2-19	200-202	of	_	
2-20	203-208	South	_	
2-21	209-215	Dakota	_	
2-22	215-216	.	_	

#Text=Reid was re-elected with 61% of the vote in the November elections.
3-1	217-221	Reid	_	
3-2	222-225	was	_	
3-3	226-236	re-elected	Government\_Decision	
3-4	237-241	with	_	
3-5	242-245	61%	_	
3-6	246-248	of	_	
3-7	249-252	the	_	
3-8	253-257	vote	_	
3-9	258-260	in	_	
3-10	261-264	the	_	
3-11	265-273	November	_	
3-12	274-283	elections	Décision gouvernementale	
3-13	283-284	.	_	

#Text=Reid won the position as the Republican party still holds majority in both houses of Congress.
4-1	288-292	Reid	_	
4-2	293-296	won	_	
4-3	297-300	the	_	
4-4	301-309	position	_	
4-5	310-312	as	_	
4-6	313-316	the	_	
4-7	317-327	Republican	_	
4-8	328-333	party	_	
4-9	334-339	still	_	
4-10	340-345	holds	_	
4-11	346-354	majority	_	
4-12	355-357	in	_	
4-13	358-362	both	_	
4-14	363-369	houses	_	
4-15	370-372	of	_	
4-16	373-381	Congress	_	
4-17	381-382	.	_	

#Text=Dennis Hastert (R-IL) and Tom DeLay (R-TX) were re-elected by the Republicans for new terms as Speaker and Majority Leader in the House of Representatives.
5-1	383-389	Dennis	_	
5-2	390-397	Hastert	_	
5-3	398-399	(	_	
5-4	399-403	R-IL	_	
5-5	403-404	)	_	
5-6	405-408	and	_	
5-7	409-412	Tom	_	
5-8	413-418	DeLay	_	
5-9	419-420	(	_	
5-10	420-424	R-TX	_	
5-11	424-425	)	_	
5-12	426-430	were	_	
5-13	431-441	re-elected	Décision gouvernementale	
5-14	442-444	by	_	
5-15	445-448	the	_	
5-16	449-460	Republicans	_	
5-17	461-464	for	_	
5-18	465-468	new	_	
5-19	469-474	terms	_	
5-20	475-477	as	_	
5-21	478-485	Speaker	_	
5-22	486-489	and	_	
5-23	490-498	Majority	_	
5-24	499-505	Leader	_	
5-25	506-508	in	_	
5-26	509-512	the	_	
5-27	513-518	House	_	
5-28	519-521	of	_	
5-29	522-537	Representatives	_	
5-30	537-538	.	_	

#Text=Senator Dick Durbin (D-IL) replaced Reid as the Senate Minority Whip.
6-1	542-549	Senator	_	
6-2	550-554	Dick	_	
6-3	555-561	Durbin	_	
6-4	562-563	(	_	
6-5	563-567	D-IL	_	
6-6	567-568	)	_	
6-7	569-577	replaced	_	
6-8	578-582	Reid	_	
6-9	583-585	as	_	
6-10	586-589	the	Décision gouvernementale[2]	
6-11	590-596	Senate	Décision gouvernementale[2]	
6-12	597-605	Minority	_	
6-13	606-610	Whip	_	
6-14	610-611	.	_	
